total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2.0
10.34,1.66,Male,No,Sun,Dinner,3.0
21.01,3.5,Male,No,Sun,Dinner,3.0
23.68,3.31,Male,No,Sun,Dinner,2.0
24.59,3.61,Female,No,Sun,Dinner,4.0
25.29,4.71,Male,No,Sun,Dinner,4.0
8.77,2.0,Male,No,Sun,Dinner,2.0
26.88,3.12,Male,No,Sun,Dinner,4.0
15.04,1.96,Male,No,Sun,Dinner,2.0
14.78,3.23,Male,No,Sun,Dinner,2.0
10.27,1.71,Male,No,Sun,Dinner,2.0
35.26,5.0,Female,No,Sun,Dinner,4.0
15.42,1.57,Male,No,Sun,Dinner,2.0
18.43,3.0,Male,No,Sun,Dinner,4.0
14.83,3.02,Female,No,Sun,Dinner,2.0
21.58,3.92,Male,No,Sun,Dinner,2.0
10.33,1.67,Female,No,Sun,Dinner,3.0
16.29,3.71,Male,No,Sun,Dinner,3.0
16.97,3.5,Female,No,Sun,Dinner,3.0
20.65,3.35,Male,No,Sat,Dinner,3.0
17.92,4.08,Male,No,Sat,Dinner,2.0
20.29,2.75,Female,No,Sat,Dinner,2.0
15.77,2.23,Female,No,Sat,Dinner,2.0
39.42,7.58,Male,No,Sat,Dinner,4.0
19.82,3.18,Male,No,Sat,Dinner,2.0
17.81,2.34,Male,No,Sat,Dinner,4.0
13.37,2.0,Male,No,Sat,Dinner,2.0
12.69,2.0,Male,No,Sat,Dinner,2.0
21.7,4.3,Male,No,Sat,Dinner,2.0
19.65,3.0,Female,No,Sat,Dinner,2.0
9.55,1.45,Male,No,Sat,Dinner,2.0
18.35,2.5,Male,No,Sat,Dinner,4.0
15.06,3.0,Female,No,Sat,Dinner,2.0
20.69,2.45,Female,No,Sat,Dinner,4.0
17.78,3.27,Male,No,Sat,Dinner,2.0
24.06,3.6,Male,No,Sat,Dinner,3.0
16.31,2.0,Male,No,Sat,Dinner,3.0
16.93,3.07,Female,No,Sat,Dinner,3.0
18.69,2.31,Male,No,Sat,Dinner,3.0
31.27,5.0,Male,No,Sat,Dinner,3.0
16.04,2.24,Male,No,Sat,Dinner,3.0
17.46,2.54,Male,No,Sun,Dinner,2.0
13.94,3.06,Male,No,Sun,Dinner,2.0
9.68,1.32,Male,No,Sun,Dinner,2.0
30.4,5.6,Male,No,Sun,Dinner,4.0
18.29,3.0,Male,No,Sun,Dinner,2.0
22.23,5.0,Male,No,Sun,Dinner,2.0
32.4,6.0,Male,No,Sun,Dinner,4.0
28.55,2.05,Male,No,Sun,Dinner,3.0
18.04,3.0,Male,No,Sun,Dinner,2.0
12.54,2.5,Male,No,Sun,Dinner,2.0
10.29,2.6,Female,No,Sun,Dinner,2.0
34.81,5.2,Female,No,Sun,Dinner,4.0
9.94,1.56,Male,No,Sun,Dinner,2.0
25.56,4.34,Male,No,Sun,Dinner,4.0
19.49,3.51,Male,No,Sun,Dinner,2.0
38.01,3.0,Male,Yes,Sat,Dinner,4.0
26.41,1.5,Female,No,Sat,Dinner,2.0
11.24,1.76,Male,Yes,Sat,Dinner,2.0
48.27,6.73,Male,No,Sat,Dinner,4.0
20.29,3.21,Male,Yes,Sat,Dinner,2.0
13.81,2.0,Male,Yes,Sat,Dinner,2.0
11.02,1.98,Male,Yes,Sat,Dinner,2.0
18.29,3.76,Male,Yes,Sat,Dinner,4.0
17.59,2.64,Male,No,Sat,Dinner,3.0
20.08,3.15,Male,No,Sat,Dinner,3.0
16.45,2.47,Female,No,Sat,Dinner,2.0
3.07,1.0,Female,Yes,Sat,Dinner,1.0
20.23,2.01,Male,No,Sat,Dinner,2.0
15.01,2.09,Male,Yes,Sat,Dinner,2.0
12.02,1.97,Male,No,Sat,Dinner,2.0
17.07,3.0,Female,No,Sat,Dinner,3.0
26.86,3.14,Female,Yes,Sat,Dinner,2.0
25.28,5.0,Female,Yes,Sat,Dinner,2.0
14.73,2.2,Female,No,Sat,Dinner,2.0
10.51,1.25,Male,No,Sat,Dinner,2.0
17.92,3.08,Male,Yes,Sat,Dinner,2.0
27.2,4.0,Male,No,Thur,Lunch,4.0
22.76,3.0,Male,No,Thur,Lunch,2.0
17.29,2.71,Male,No,Thur,Lunch,2.0
19.44,3.0,Male,Yes,Thur,Lunch,2.0
16.66,3.4,Male,No,Thur,Lunch,2.0
10.07,1.83,Female,No,Thur,Lunch,1.0
32.68,5.0,Male,Yes,Thur,Lunch,2.0
15.98,2.03,Male,No,Thur,Lunch,2.0
34.83,5.17,Female,No,Thur,Lunch,4.0
13.03,2.0,Male,No,Thur,Lunch,2.0
18.28,4.0,Male,No,Thur,Lunch,2.0
24.71,5.85,Male,No,Thur,Lunch,2.0
21.16,3.0,Male,No,Thur,Lunch,2.0
28.97,3.0,Male,Yes,Fri,Dinner,2.0
...,,,,,,
10.33,1.67,,No,Sun,Dinner,
,3.21,Male,Yes,Sat,Dinner,
